Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Kirill Kaprizov,L,L,55,27,24,51,10,16,0.93,19,38,8,13,0,0,2,3,157,17.2,18:18,12.5
Dominik Kubalik,L,L,68,30,16,46,2,16,0.68,26,38,4,8,0,0,0,3,157,19.1,14:22,31.6
Jason Robertson,L,L,54,17,29,46,13,16,0.85,16,39,1,7,0,0,1,3,131,13,16:38,71.4
Victor Olofsson,L,L,54,20,22,42,-1,6,0.78,9,25,11,17,0,0,1,4,127,15.8,18:23,50
Nick Suzuki,R,C,71,13,28,41,-15,6,0.58,7,27,6,14,0,0,0,1,138,9.4,15:59,46.3
Martin Necas,R,C,64,16,20,36,-6,20,0.56,11,27,5,9,0,0,0,3,88,18.2,14:10,27.1
Josh Norris,L,C,59,17,18,35,-10,13,0.59,11,21,6,14,0,0,1,2,105,16.2,16:33,52.9
Trevor Zegras,L,C,49,9,26,35,1,36,0.71,7,30,2,5,0,0,1,2,119,7.6,16:09,41.2
Michael Bunting,L,L,48,17,15,32,0,34,0.67,12,26,5,6,0,0,0,2,92,18.5,15:28,57.1
Gabriel Vilardi,R,C,64,13,17,30,-8,10,0.47,9,24,4,6,0,0,0,3,84,15.5,14:27,46.8
Yegor Sharangovich,L,C,54,16,14,30,-4,4,0.56,13,27,2,2,1,1,1,3,114,14,16:48,28.3
Denis Gurianov,L,R,64,20,9,29,5,13,0.45,13,17,7,12,0,0,0,4,132,15.2,12:59,--
Tim Stützle,L,L,53,12,17,29,-18,14,0.55,8,20,4,9,0,0,0,2,111,10.8,15:44,29.6
Pius Suter,L,C,55,14,13,27,-5,14,0.49,13,24,1,3,0,0,1,3,112,12.5,16:20,42.6
Nils Hoglander,L,L,56,13,14,27,-4,16,0.48,12,26,1,1,0,0,0,1,118,11,15:27,50
Alex Nylander,R,L,65,10,16,26,-2,10,0.4,10,24,0,2,0,0,0,1,94,10.6,12:08,26.3
Janne Kuokkanen,L,L,51,8,17,25,-11,14,0.49,7,21,1,4,0,0,0,1,61,13.1,14:43,11.1
Brandon Hagel,L,L,53,9,15,24,-7,11,0.45,9,20,0,3,0,1,2,2,95,9.5,13:57,39.1
Blake Lizotte,L,C,65,6,17,23,-4,20,0.35,2,17,2,3,2,3,0,0,87,6.9,13:58,50.2
Kirby Dach,R,C,64,8,15,23,-1,24,0.36,8,20,0,3,0,0,0,2,101,7.9,14:16,33.8
Kaapo Kakko,L,R,66,10,13,23,-26,14,0.35,8,10,2,13,0,0,1,3,109,9.2,14:17,33.3
Ilya Mikheyev,L,R,39,8,15,23,7,4,0.59,7,22,0,0,1,1,0,1,98,8.2,15:35,75
Sam Steel,L,C,65,6,16,22,-13,20,0.34,5,14,1,8,0,0,1,1,85,7.1,15:33,50.3
Eeli Tolvanen,L,R,40,11,11,22,-10,4,0.55,5,10,6,12,0,0,1,4,65,16.9,14:48,16.7
Lucas Raymond,R,L,26,10,12,22,3,4,0.85,7,17,3,5,0,0,1,1,58,17.2,17:24,62.5
Oliver Wahlstrom,R,R,53,12,9,21,0,25,0.4,8,11,4,10,0,0,0,1,103,11.7,12:02,33.3
Joel Farabee,L,L,52,8,13,21,6,39,0.4,7,19,1,2,0,0,0,1,81,9.9,14:06,30
Jack Hughes,L,C,61,7,14,21,-26,10,0.34,3,12,4,9,0,0,1,2,123,5.7,15:52,36.2
Alexis Lafrenière,L,L,56,12,9,21,-7,8,0.38,12,21,0,0,0,0,1,4,67,17.9,13:53,41.9
Emil Bemstrom,R,C,56,10,10,20,-10,8,0.36,5,12,5,8,0,0,1,4,97,10.3,12:16,30.8
Nico Sturm,L,C,56,11,8,19,12,17,0.34,11,19,0,0,0,0,0,2,66,16.7,10:57,51.9
Tanner Jeannot,L,L,40,11,7,18,4,36,0.45,10,16,0,0,1,2,0,1,62,17.7,13:51,40
Owen Tippett,R,R,45,7,11,18,-5,6,0.4,5,15,2,3,0,0,0,2,86,8.1,11:29,66.7
Yakov Trenin,L,C,66,7,10,17,5,31,0.26,7,17,0,0,0,0,0,0,87,8.1,10:59,43.8
Jake Evans,R,C,60,5,11,16,3,29,0.27,4,14,0,0,1,2,0,0,69,7.3,11:31,50.3
Dillon Dube,L,C,45,6,10,16,0,6,0.36,5,14,1,2,0,0,0,2,60,10,12:41,0
Philipp Kurashev,L,C,54,8,8,16,-9,12,0.3,6,11,2,5,0,0,0,1,65,12.3,13:05,41.1
Nicolas Aube-Kubel,R,R,36,7,8,15,1,19,0.42,5,12,2,3,0,0,0,1,48,14.6,11:17,33.3
Pierre Engvall,L,L,48,8,7,15,4,6,0.31,7,13,0,0,1,2,0,3,72,11.1,11:56,39.1
Filip Zadina,L,R,28,8,7,15,-13,2,0.54,4,8,4,7,0,0,0,1,60,13.3,15:10,100
Dawson Mercer,R,C,24,7,8,15,6,12,0.63,6,13,1,2,0,0,0,0,47,14.9,16:21,34.9
Nikolai Prokhorkin,L,L,43,4,10,14,-6,6,0.33,4,11,0,3,0,0,0,1,63,6.4,12:06,47.6
Alexander Volkov,L,R,46,7,7,14,-5,12,0.3,7,13,0,1,0,0,0,0,42,16.7,11:23,33.3
Carter Verhaeghe,L,C,52,9,4,13,-9,8,0.25,8,12,1,1,0,0,0,1,57,15.8,9:22,45.2
Sam Lafferty,R,R,50,6,7,13,5,23,0.26,6,13,0,0,0,0,0,1,56,10.7,9:37,49.6
Keegan Kolesar,R,R,45,3,10,13,-4,30,0.29,3,13,0,0,0,0,0,0,47,6.4,9:36,46.3
Morgan Geekie,R,C,38,6,7,13,4,12,0.34,4,11,2,2,0,0,0,0,34,17.7,9:54,52.8
Alexandre Texier,L,C,36,6,7,13,3,10,0.36,6,12,0,1,0,0,1,1,49,12.2,12:45,36.5
John Leonard,L,L,44,3,10,13,-7,2,0.3,2,12,1,1,0,0,0,0,60,5,11:15,0
Dylan Cozens,R,C,41,4,9,13,-15,16,0.32,3,12,1,1,0,0,0,0,62,6.5,14:21,47.5
Nick Merkley,L,R,31,3,9,12,-5,9,0.39,3,11,0,1,0,0,0,0,46,6.5,11:29,25
Jonathan Dahlen,L,C,22,7,5,12,2,2,0.55,6,10,1,2,0,0,0,2,41,17.1,14:30,--
Rem Pitlick,L,C,26,5,7,12,6,14,0.46,5,12,0,0,0,0,0,1,23,21.7,10:39,45
Ross Colton,L,C,30,9,3,12,3,16,0.4,9,12,0,0,0,0,0,4,46,19.6,10:34,48.6
Cody Glass,R,C,39,5,7,12,-7,6,0.31,4,6,1,6,0,0,0,1,51,9.8,13:22,42
Eric Robinson,L,L,50,7,5,12,10,12,0.24,7,12,0,0,0,0,0,3,69,10.1,10:57,36.4
Alex Newhook,L,C,20,6,6,12,7,6,0.6,4,9,2,3,0,0,0,3,31,19.4,13:28,35.1
Joel Kiviranta,L,L,37,7,5,12,2,10,0.32,6,11,1,1,0,0,0,0,44,15.9,11:43,14.3
Mason Marchment,L,L,37,2,9,11,4,18,0.3,2,11,0,0,0,0,0,0,53,3.8,13:29,40
Julien Gauthier,R,R,47,2,9,11,-5,22,0.23,2,11,0,0,0,0,0,0,48,4.2,9:09,45.5
Logan Brown,L,C,28,3,8,11,1,6,0.39,2,8,1,3,0,0,0,1,28,10.7,11:31,39.5
Dylan Gambrell,R,C,50,5,6,11,-8,17,0.22,5,10,0,1,0,0,0,1,43,11.6,11:57,46
Jaret Anderson-Dolan,L,C,38,7,4,11,-10,6,0.29,6,10,1,1,0,0,0,2,39,18,13:10,43.5
Max Comtois,L,L,29,5,6,11,-4,24,0.38,3,8,2,3,0,0,0,0,32,15.6,13:58,18.8
