Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
DeBrincat, Alex	ER	63	65	62	127	8	2	11	7	2.02
Raddysh, Taylor	ER	58	42	67	109	5	0	5	6	1.88
Mascherin, Adam	KIT	65	35	65	100	5	3	5	4	1.54
Palmu, Petrus	OS	62	40	58	98	9	3	4	7	1.58
Suzuki, Nick	OS	65	45	51	96	6	2	8	5	1.48
Kyrou, Jordan	SAR	66	30	64	94	4	0	4	4	1.42
Moore, Ryan	FLNT	68	39	51	90	1	0	7	5	1.32
Pu, Cliff	LDN	63	35	51	86	3	0	3	7	1.37
Sherwood, Kole	FLNT	60	33	52	85	6	2	7	2	1.42
Hancock, Kevin	OS	68	30	55	85	8	0	4	5	1.25
Tyanulin, Artur	OTT	67	24	61	85	3	2	5	2	1.27
Bracco, Jeremy	WSR	57	25	58	83	5	2	5	3	1.46
Robertson, Jason	KGN	68	42	39	81	11	1	7	5	1.19
Raddysh, Darren	ER	62	16	65	81	4	1	2	3	1.31
MacIntyre, Bobby	SSM	63	28	52	80	7	0	4	5	1.27
Tippett, Owen	MISS	60	44	31	75	8	1	6	3	1.25
Strome, Dylan	ER	35	22	53	75	4	0	3	3	2.14
Gadjovich, Jonah	OS	60	46	28	74	5	0	5	7	1.23
McLeod, Michael	MISS	57	27	46	73	3	0	7	3	1.28
Centorame, Santino	OS	68	7	66	73	2	0	1	0	1.07
Sokolov, Dmitry	SBY	64	48	24	72	7	1	11	4	1.13
Piccinich, JJ	LDN	66	26	45	71	2	0	3	3	1.08
McKenzie, Brett	NB	67	29	38	67	4	0	5	3	1.00
Hodgson, Hayden	SAG	67	38	28	66	3	0	3	7	0.99
Thomas, Robert	LDN	66	16	50	66	2	0	0	1	1.00
Senyshyn, Zachary	SSM	59	42	23	65	10	2	10	2	1.10
Harland, Steve	NB	68	27	38	65	6	3	2	1	0.96
Katchouk, Boris	SSM	66	35	29	64	6	3	6	3	0.97
Caamano, Nicholas	FLNT	67	35	29	64	4	0	3	3	0.96
Korostelev, Nikita	PBO	55	29	35	64	5	0	5	2	1.16
Cirelli, Anthony	ER	51	25	39	64	5	0	0	1	1.25
Maksimovich, Kyle	ER	64	16	48	64	2	0	4	4	1.00
Foegele, Warren	ER	61	27	36	63	5	1	3	3	1.03
Keating, Austen	OTT	67	22	41	63	2	0	2	2	0.94
Commisso, Domenico	OSH	68	19	44	63	1	0	2	1	0.93
Timms, Matthew	PBO	68	11	52	63	2	1	1	2	0.93
Rymsha, Drake	SAR	65	35	27	62	5	1	6	4	0.95
Strome, Matthew	HAM	66	34	28	62	5	1	4	4	0.94
Corneil, Johnny	NIAG	67	31	31	62	3	0	7	3	0.93
Kuokkanen, Janne	LDN	60	26	36	62	5	0	5	4	1.03
Frost, Morgan	SSM	67	20	42	62	3	0	1	2	0.93
Vilardi, Gabriel	WSR	49	29	32	61	4	2	5	2	1.24
Lorentz, Steven	PBO	66	29	32	61	5	2	1	6	0.92
Hronek, Filip	SAG	59	14	47	61	3	0	2	0	1.03
Timmins, Conor	SSM	67	7	54	61	0	0	1	2	0.91
Garreffa, Joseph	KIT	68	25	35	60	3	1	3	3	0.88
Luchuk, Aaron	WSR	68	28	31	59	5	1	5	3	0.87
Ang, Jonathan	PBO	67	27	32	59	4	1	2	3	0.88
Salinitri, Anthony	SAR	66	28	30	58	2	0	10	2	0.88
Mantha, Ryan	NIAG	65	17	41	58	2	0	1	1	0.89
James, Cordell	OS	64	34	23	57	5	1	2	1	0.89
Lodnia, Ivan	ER	66	24	33	57	3	0	2	3	0.86
Bitten, Will	HAM	65	23	34	57	1	0	2	6	0.88
Cramarossa, Michael	HAM	67	21	36	57	4	0	1	1	0.85
Stefano, Anthony	BAR	62	22	34	56	0	0	2	2	0.90
King, Jeff	SAR	66	14	42	56	2	0	2	1	0.85
Miletic, Sam	LDN	65	37	18	55	8	0	4	3	0.85
DeNoble, Logan	PBO	67	34	21	55	7	0	5	4	0.82
Merkley, Ryan	GUE	62	12	43	55	2	1	1	0	0.89
Gettinger, Tim	SSM	62	31	23	54	2	0	1	3	0.87
Ratcliffe, Isaac	GUE	67	28	26	54	3	0	5	2	0.81
Pettit, Kyle	ER	66	26	28	54	4	0	4	1	0.82
Henderson, Mathieu	FLNT	68	10	44	54	3	2	1	0	0.79
Watson, Spencer	MISS	41	28	25	53	6	1	4	2	1.29
Stephens, Mitchell	LDN	51	22	31	53	2	0	6	4	1.04
Chiodo, Lucas	BAR	68	22	31	53	2	0	1	1	0.78
Vande Sompel, Mitchell	LDN	67	20	33	53	5	0	3	3	0.79
Levin, David	SBY	66	18	35	53	2	0	1	3	0.80
Bunnaman, Connor	KIT	64	37	15	52	3	0	5	4	0.81
Henderson, Eric	OSH	65	22	30	52	3	0	7	4	0.80
Mercier, Medric	OSH	67	22	30	52	5	2	3	1	0.78
Studnicka, Jack	OSH	64	18	34	52	1	0	5	3	0.81
Knott, Graham	WSR	59	15	37	52	3	1	1	1	0.88
Bennett, Kris	SAG	66	25	26	51	4	0	3	3	0.77
Desrocher, Stephen	KGN	65	12	39	51	1	0	1	0	0.78
Carson, Macauley	SBY	68	30	20	50	2	0	5	2	0.74
Nyman, Linus	KGN	68	26	24	50	7	0	9	2	0.74
Valentini, Ryan	SBY	66	18	32	50	1	0	4	2	0.76
Jones, Ben	NIAG	63	13	37	50	0	0	5	1	0.79
Kopacka, Jack	SSM	65	30	19	49	4	0	3	6	0.75
Luff, Matt	HAM	45	25	24	49	7	1	4	3	1.09
White, Patrick	OTT	68	22	27	49	2	2	4	1	0.72
Saigeon, Brandon	HAM	66	21	28	49	0	0	4	1	0.74
Petti, Niki	HAM	51	20	29	49	4	0	1	0	0.96
Jenkins, Kyle	PBO	67	12	37	49	1	0	2	1	0.73
Thomas, Akil	NIAG	61	21	27	48	1	1	0	0	0.79
Paquette, Christopher	PBO	66	19	29	48	4	1	5	1	0.73
Gilmour, Brady	SAG	65	26	21	47	0	0	5	1	0.72
Gallant, Zach	PBO	60	21	26	47	1	0	4	0	0.78
Szypula, Ethan	OS	64	11	36	47	1	0	3	2	0.73
Capobianco, Kyle	SBY	65	10	37	47	1	0	1	1	0.72
Ruzicka, Adam	SAR	61	25	21	46	3	0	1	2	0.75
Hague, Nicolas	MISS	65	18	28	46	2	1	1	3	0.71
Bastian, Nathan	MISS	58	16	29	45	1	1	3	2	0.78
Mete, Victor	LDN	50	15	30	45	6	1	4	1	0.90
Smereck, Jalen	FLNT	60	9	36	45	1	1	1	0	0.75
Smith, Givani	GUE	64	26	18	44	3	0	4	1	0.69
McShane, Allan	OSH	62	17	27	44	4	0	1	1	0.71
Bouchard, Evan	LDN	68	11	33	44	2	0	1	0	0.65
Sergachev, Mikhail	WSR	50	10	34	44	2	0	2	0	0.88
Addison, Jeremiah	WSR	51	24	19	43	4	0	1	5	0.84
Llewellyn, Darby	KIT	59	23	20	43	1	0	4	1	0.73
Chmelevski, Sasha	OTT	58	21	22	43	4	1	4	0	0.74
Phillips, Markus	OS	66	13	30	43	2	0	1	1	0.65
Juolevi, Olli	LDN	58	10	33	43	1	0	3	1	0.74
Meireles, Greg	KIT	66	17	25	42	5	0	1	2	0.64
McLeod, Ryan	MISS	68	9	33	42	1	1	2	0	0.62
Colella, Maurizio	FLNT	65	18	23	41	2	0	2	4	0.63
Spinozzi, Kevin	SAR	58	13	28	41	3	0	1	0	0.71
