Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Abramov, Vitalii	Gat	66	46	58	104	4	2	11	6	1.58
Boland, Tyler	Rim	68	48	55	103	7	3	12	3	1.51
Beauchemin, François	Cha	69	45	52	97	8	0	7	4	1.41
Chlapik, Filip	Cha	57	34	57	91	3	0	3	1	1.60
Fiore, Giovanni	Cap	61	52	38	90	7	2	3	6	1.48
Boivin, Christophe	Bat	68	43	47	90	0	0	8	3	1.32
Goulet, Alexandre	Vic	68	39	50	89	7	0	5	4	1.31
Highmore, Matthew	SNB	64	34	55	89	5	0	6	4	1.39
Fortier, Maxime	Hal	68	32	55	87	5	0	3	3	1.28
Hischier, Nico	Hal	57	38	48	86	5	1	6	1	1.51
Barré-Boulet, Alex	BLB	65	29	52	81	6	1	6	3	1.25
Waked, Antoine	Rou	67	39	41	80	6	0	4	5	1.19
Roy, Nicolas	Chi	53	36	44	80	5	1	6	3	1.51
Joseph, Mathieu	SNB	54	36	44	80	6	0	9	5	1.48
Beaudin, Jean-Christophe	Rou	65	30	50	80	4	0	4	1	1.23
Smallman, Spencer	SNB	60	30	49	79	4	0	4	4	1.32
Ratelle, Joey	Chi	62	41	36	77	10	1	6	3	1.24
Montcalm, Dylan	Rim	62	16	60	76	0	0	2	1	1.23
Yan, Dennis	Sha	64	46	29	75	8	0	8	5	1.17
Girard, Samuel	Sha	59	9	66	75	1	0	4	1	1.27
Kielly, Kameron	Cha	65	34	40	74	9	2	4	3	1.14
MacEwen, Zack	Gat	66	31	43	74	5	1	6	2	1.12
Morand, Antoine	Bat	67	28	46	74	4	1	2	3	1.10
Dostie, Alex	Cha	63	30	41	71	3	1	3	4	1.13
Carozza, Massimo	Cap	63	27	42	69	7	1	4	2	1.10
Neill, Carl	Cha	67	13	56	69	1	0	2	1	1.03
Kuznetsov, Vladimir	Bat	68	30	38	68	3	0	5	2	1.00
Trenin, Yakov	Gat	54	30	37	67	6	0	6	1	1.24
Zhukenov, Dmitry	Chi	64	18	47	65	3	2	4	0	1.02
Allard, Frédéric	Chi	63	14	51	65	4	0	1	1	1.03
Grégoire, Thomas	She	66	10	54	64	2	0	1	0	0.97
