Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Halbgewachs, Jayden	MJ	72	70	59	129	11	2	9	11	1.79
Gawdin, Glenn	SC	67	56	69	125	8	1	9	7	1.87
Heponiemi, Aleksi	SC	57	28	90	118	6	1	6	3	2.07
Burke, Brayden	MJ	61	31	82	113	8	2	7	4	1.85
Phillips, Matthew	VIC	71	48	64	112	8	3	5	4	1.58
Steenbergen, Tyler	SC	56	47	55	102	8	2	8	5	1.82
Glass, Cody	POR	64	37	65	102	5	0	8	5	1.59
Lewis, Ty	BDN	70	44	56	100	9	3	8	3	1.43
Bajkov, Patrick	EVT	72	33	67	100	5	0	5	4	1.39
Almeida, Justin	MJ	72	43	55	98	10	0	2	4	1.36
Lind, Kole	KEL	58	39	56	95	7	2	8	4	1.64
Bellerive, Jordy	LET	71	46	46	92	6	1	9	2	1.30
Soy, Tyler	VIC	66	36	56	92	3	0	4	1	1.39
Stallard, Jordy	PA	72	44	47	91	3	0	8	1	1.26
Anderson-Dolan, Jaret	SPO	70	40	51	91	5	1	6	0	1.30
Mattheos, Stelio	BDN	68	43	47	90	10	4	8	5	1.32
Hebig, Cameron	REG	66	41	49	90	5	1	4	4	1.36
Fix-Wolansky, Trey	EDM	71	32	57	89	5	2	5	0	1.25
Shmyr, Braylon	SAS	72	37	51	88	6	0	8	4	1.22
Fonteyne, Matt	EVT	72	35	53	88	4	0	6	4	1.22
McKenzie, Skyler	POR	72	47	40	87	5	2	8	8	1.21
Elynuik, Hudson	SPO	71	31	55	86	7	0	7	4	1.21
Estephan, Giorgio	SC	69	30	56	86	1	0	2	3	1.25
Ronning, Ty	VAN	70	61	23	84	9	2	7	7	1.20
Dube, Dillon	KEL	53	38	46	84	7	1	6	4	1.58
Geekie, Morgan	TC	68	30	54	84	6	0	3	2	1.24
Steel, Sam	REG	54	33	50	83	4	2	5	3	1.54
Rassell, Mark	MH	70	50	30	80	8	2	5	4	1.14
Jeannot, Tanner	MJ	72	40	40	80	3	0	3	10	1.11
Topping, Jordan	TC	72	38	42	80	5	3	8	1	1.11
Pilon, Garrett	EVT	69	34	46	80	4	0	6	2	1.16
Quenneville, David	MH	70	26	54	80	4	0	4	7	1.14
Gennaro, Matteo	SC	67	42	37	79	6	0	6	4	1.18
Bradley, Matt	REG	72	37	42	79	5	1	1	5	1.10
Hannoun, Dante	VIC	66	25	54	79	2	0	5	2	1.20
Volcan, Nolan	SEA	70	32	44	76	2	0	7	3	1.09
Neuls, Donovan	SEA	71	22	54	76	2	0	3	4	1.07
Morrison, Brad	LET	74	27	48	75	2	0	4	3	1.01
Howden, Brett	MJ	49	24	51	75	5	2	5	1	1.53
