Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Robertson, Jason	NIAG	62	48	69	117	4	0	2	7	1.89
Brazeau, Justin	NB	68	61	52	113	10	3	9	1	1.66
Felhaber, Tye	OTT	68	59	50	109	11	1	15	7	1.60
Frost, Morgan	SSM	58	37	72	109	6	2	4	5	1.88
Hancock, Kevin	LDN	70	52	55	107	8	0	6	9	1.53
Kaliyev, Arthur	HAM	67	51	51	102	7	2	6	6	1.52
Jones, Ben	NIAG	68	41	61	102	3	0	2	8	1.50
Thomas, Akil	NIAG	63	38	64	102	5	0	7	2	1.62
Schnarr, Nate	GUE	65	34	68	102	5	1	6	4	1.57
Meireles, Greg	KIT	68	36	61	97	6	0	5	5	1.43
Suzuki, Nick	GUE	59	34	60	94	10	1	2	1	1.59
Saigeon, Brandon	OSH	68	37	55	92	6	0	4	2	1.35
Keating, Austen	OTT	68	22	67	89	6	2	2	3	1.31
Salinitri, Anthony	OSH	68	48	40	88	6	0	8	6	1.29
Garreffa, Joseph	KIT	68	32	55	87	3	0	4	3	1.28
Damiani, Riley	KIT	58	30	55	85	4	1	4	3	1.47
Studnicka, Jack	NIAG	60	36	47	83	2	0	7	5	1.38
Ratcliffe, Isaac	GUE	65	50	32	82	5	1	5	3	1.26
Lyszczarczyk, Alan	MISS	64	39	43	82	7	1	2	3	1.28
Leufvenius, Hugo	SAR	66	37	44	81	4	1	5	2	1.23
Maksimovich, Kyle	OTT	67	35	46	81	6	4	3	3	1.21
Noel, Serron	OSH	68	34	47	81	4	3	6	1	1.19
Struthers, Matthew	NB	61	31	50	81	5	2	3	4	1.33
Neumann, Brett	OSH	68	45	34	79	4	0	3	8	1.16
Maksimov, Kirill	NIAG	63	40	39	79	4	0	7	1	1.25
Chiodo, Lucas	OTT	67	29	50	79	3	1	5	5	1.18
Strome, Matthew	HAM	68	28	51	79	3	1	4	1	1.16
Hawel, Liam	GUE	66	37	41	78	3	0	7	5	1.18
Ruzicka, Adam	SBY	65	35	43	78	5	0	5	4	1.20
Howdeshell, Keeghan	SSM	66	46	31	77	9	2	4	4	1.17
McGregor, Ryan	SAR	61	25	52	77	3	2	1	4	1.26
Hollowell, Mac	SSM	64	24	53	77	5	2	1	1	1.20
Chmelevski, Sasha	OTT	56	35	40	75	5	0	7	8	1.34
Suzuki, Ryan	BAR	65	25	50	75	4	0	4	1	1.15
Perfetti, Cole	SAG	63	37	37	74	7	1	7	2	1.17
Tippett, Owen	SAG	54	33	41	74	6	0	7	6	1.37
Yantsis, Jonathan	KIT	68	50	23	73	7	1	8	4	1.07
Hugg, Rickard	KIT	62	33	40	73	4	0	5	3	1.18
McMichael, Connor	LDN	67	36	36	72	4	0	6	2	1.07
Tomasino, Philip	NIAG	67	34	38	72	12	0	3	4	1.07
Merkley, Ryan	PBO	63	14	57	71	2	1	2	1	1.13
Wilde, Bode	SAG	62	19	51	70	6	1	3	2	1.13
McShane, Allan	OSH	62	34	35	69	5	1	4	3	1.11
Foudy, Liam	LDN	62	36	32	68	5	1	6	6	1.10
Carter, Cole	MISS	61	35	33	68	6	1	5	2	1.11
Hayton, Barrett	SSM	39	26	40	66	2	1	2	4	1.69
Chenier, Brad	NB	61	30	35	65	4	0	2	5	1.07
Rossi, Marco	OTT	53	29	36	65	5	1	1	3	1.23
Coskey, Cole	SAG	52	31	32	63	4	0	5	4	1.21
Dellandrea, Ty	FLNT	60	22	41	63	0	0	5	1	1.05
Dudas, Aidan	OS	68	26	36	62	3	1	1	3	0.91
McLeod, Ryan	SAG	63	19	43	62	2	0	5	2	0.98
Hoefenmayer, Noel	OTT	68	16	46	62	3	0	3	2	0.91
Byfield, Quinton	SBY	64	29	32	61	5	1	4	6	0.95
MacKay, Cole	SSM	65	27	34	61	4	0	5	2	0.94
Mattinen, Nicolas	OSH	68	18	43	61	1	0	1	3	0.90
Poddubnyi, Gera	ER	68	29	31	60	2	1	4	1	0.88
Sproviero, Franco	SAR	64	22	38	60	1	0	1	2	0.94
Boqvist, Adam	LDN	54	20	40	60	4	1	4	1	1.11
MacLean, Kyle	OSH	68	18	42	60	0	0	3	3	0.88
Durham, Jake	FLNT	68	35	24	59	1	1	5	3	0.87
Keppen, Ethan	FLNT	68	30	29	59	4	0	5	1	0.87
