Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Lafrenière, Alexis	Rim	52	35	77	112	5	1	4	4	2.15
Khovanov, Alexander	Mon	51	32	67	99	6	2	3	4	1.94
Sokolov, Egor	Cap	52	46	46	92	10	1	6	3	1.77
Robert, Félix	She	46	36	56	92	3	0	10	5	2.00
Simoneau, Xavier	Dru	61	28	61	89	3	0	3	2	1.46
Voyer, Alex-Olivier	She	63	44	44	88	8	3	6	6	1.40
Paré, Cédric	Rim	64	37	51	88	5	0	5	3	1.38
McKenna, Jeremy	Mon	57	40	42	82	5	2	5	5	1.44
Lavoie, Raphaël	Chi	55	38	44	82	7	0	6	7	1.49
Pelletier, Jakob	Mon	57	32	50	82	6	1	5	6	1.44
Boudrias, Shawn	Cap	59	35	44	79	6	0	1	3	1.34
Harvey-Pinard, Rafaël	Chi	62	34	44	78	6	0	6	4	1.26
Groulx, Benoit-Olivier	Mon	55	29	49	78	2	0	7	6	1.42
Poulin, Samuel	She	46	32	45	77	4	0	2	7	1.67
Abramov, Mikhail	Vic	63	35	41	76	4	0	6	4	1.21
Henman, Luke	BLB	63	25	49	74	6	1	2	2	1.17
Francis, Ryan	Cap	61	24	48	72	1	0	4	3	1.18
Légaré, Nathan	BaC	61	35	36	71	6	2	5	4	1.16
Bourgault, Xavier	Sha	63	33	38	71	6	1	3	3	1.13
Bourque, Mavrik	Sha	49	29	42	71	3	1	4	3	1.45
Beaucage, Alex	Rou	63	40	30	70	7	3	5	4	1.11
Bibeau, Félix	Chi	63	29	41	70	4	1	4	6	1.11
Zavgorodniy, Dmitry	Rim	40	29	38	67	4	0	4	2	1.68
Guay, Nicolas	Rim	62	27	39	66	2	0	3	2	1.06
Roy, Charles-Antoine	She	61	33	30	63	5	0	5	6	1.03
Fortier, Gabriel	Mon	64	32	31	63	5	0	5	1	0.98
Trépanier, Maxim	Sha	53	31	32	63	4	1	5	4	1.19
Element, Shawn	Cap	61	38	24	62	4	0	3	6	1.02
Likhachev, Yaroslav	BLB	60	29	33	62	2	0	4	4	1.03
Campbell, Isiah	Dru	63	26	34	60	7	0	5	3	0.95
Mercer, Dawson	Chi	42	24	36	60	4	1	3	4	1.43
Tardif, Benjamin	She	49	26	33	59	5	0	6	2	1.20
Cyr, Mika	Mon	64	37	21	58	5	0	6	6	0.91
Hinam, Tyler	Cap	59	22	36	58	1	1	2	2	0.98
Villeneuve, William	SNB	64	9	49	58	1	0	2	0	0.91
Burns, Brady	SNB	64	27	30	57	6	1	3	1	0.89
Gentile, Derek	Cap	60	25	32	57	5	0	7	4	0.95
Marleau, Vincent	Rou	63	22	35	57	3	1	2	6	0.90
Gursoy, Kevin	Hal	65	24	32	56	2	1	3	2	0.86
Dufour, William	Dru	59	28	27	55	5	2	2	4	0.93
Anglehart, Rémy	Bat	64	29	25	54	1	0	2	2	0.84
Gagnon, Anthony	Que	64	25	29	54	4	2	4	4	0.84
Alexandrov, Nikita	Cha	42	23	31	54	4	0	3	0	1.29
Kalmikov, Brooklyn	Vic	61	25	28	53	3	0	5	3	0.87
L'Heureux, Zachary	Mon	55	20	33	53	3	0	4	3	0.96
Poirier, Jérémie	SNB	64	20	33	53	1	1	1	1	0.83
Belliveau, Isaac	Rim	62	11	42	53	5	0	0	0	0.85
Bolduc, Zachary	Rim	55	30	22	52	5	0	7	9	0.95
Proulx, Gabriel	BaC	64	21	31	52	1	0	4	1	0.81
Houde, Samuel	Chi	44	19	33	52	2	0	2	3	1.18
Spence, Jordan	Mon	60	9	43	52	1	0	1	0	0.87
Desgagnés, Mathieu	Bat	61	27	24	51	4	1	2	2	0.84
Dion, Jacob	Dru	63	17	34	51	1	0	1	2	0.81
Farmer, Christophe	Chi	63	15	36	51	1	0	5	1	0.81
Ouellet, Nicolas	VdO	48	30	20	50	2	0	3	4	1.04
Budgell, Brett	Cha	64	24	25	49	3	1	8	1	0.77
Ponomarev, Vasily	Sha	57	18	31	49	2	0	1	1	0.86
Craig, Kieran	Gat	64	22	26	48	6	0	7	2	0.75
Laferrière, Mathias	Cap	40	20	28	48	4	0	2	3	1.20
Roelens, Metis	Gat	56	18	30	48	1	0	7	1	0.86
Pinard, Simon	BLB	58	29	18	47	2	1	5	3	0.81
Casey, Thomas	Cha	57	26	21	47	3	2	4	2	0.82
Durocher, Jeffrey	SNB	63	23	23	46	4	0	3	2	0.73
Kotkov, Vladislav	Chi	51	22	24	46	4	1	2	2	0.90
Peach, Bailey	She	52	19	27	46	2	0	3	3	0.88
Dean, Zachary	Gat	57	18	28	46	1	0	4	1	0.81
Malatesta, James	Que	59	23	22	45	0	0	6	1	0.76
Dubé, Pierrick	Que	56	19	26	45	2	0	3	3	0.80
Lafrance, Félix	Cap	63	18	27	45	1	0	2	1	0.71
Côté, Louis-Filip	Rou	63	11	34	45	1	0	2	0	0.71
Kielb, Darien	Que	64	9	36	45	2	0	2	1	0.70
Merisier-Ortiz, Christopher	BaC	64	9	36	45	1	0	0	1	0.70
MacDonald, Anderson	SNB	57	22	22	44	2	0	5	0	0.77
Beaudoin, Charles	Sha	63	21	23	44	4	0	1	2	0.70
Roy, Joshua	SNB	60	16	28	44	5	0	2	0	0.73
Robidas, Justin	VdO	57	21	22	43	2	0	2	2	0.75
Kniazev, Artemi	Chi	51	11	32	43	1	0	2	0	0.84
Bolduc, Samuel	She	61	11	32	43	3	2	4	0	0.70
Bizier, Mathieu	Gat	59	19	23	42	3	2	2	0	0.71
Lawrence, Josh	SNB	64	19	23	42	2	0	2	3	0.66
Cajkovic, Maxim	SNB	36	18	24	42	1	1	4	0	1.17
Michel, Jérémy	VdO	63	18	24	42	3	2	1	0	0.67
Bergeron, Justin	Rim	57	15	27	42	6	1	0	1	0.74
Demers, Antoine	BLB	50	8	34	42	4	2	2	0	0.84
Jentzsch, Taro	She	45	19	22	41	3	1	1	2	0.91
Gravel, Jérôme	Vic	62	19	22	41	3	0	3	1	0.66
Marcotty, Félix-Antoine	Chi	62	16	25	41	1	0	3	3	0.66
Cormier, Cole	Que	64	16	25	41	1	0	3	0	0.64
Guay, Patrick	She	55	21	19	40	5	0	3	4	0.73
Serdyuk, Egor	Vic	50	16	24	40	1	1	3	1	0.80
Miller, Shaun	Rou	56	15	25	40	1	0	4	3	0.71
Landry, Manix	Gat	59	15	25	40	1	0	1	1	0.68
Desruisseaux, Cédric	Cha	56	14	26	40	7	3	2	3	0.71
Guenette, Maxence	VdO	62	11	29	40	4	1	0	1	0.65
Corbeil, Benjamin	BLB	60	18	21	39	2	0	2	2	0.65
Girouard, Nicholas	Dru	61	16	23	39	3	1	4	1	0.64
Anctil, Julien	She	63	16	23	39	2	0	2	1	0.62
Rochette, Théo	Que	49	14	25	39	2	0	1	1	0.80
Nickl, Thimo	Dru	58	10	29	39	2	0	2	4	0.67
Baker, Jarrett	Cap	59	6	33	39	1	0	1	1	0.66
Gaucher, Jacob	VdO	62	14	24	38	0	0	4	2	0.61
Huckins, Cole	Bat	64	13	25	38	2	1	0	0	0.59
Larose, Nathan	Cap	51	17	20	37	2	0	1	4	0.73
Doucet, Alexandre	VdO	62	8	29	37	1	0	1	1	0.60
Ducharme, Justin	Chi	50	16	20	36	4	0	1	3	0.72
Boudrias, Karl	Chi	59	11	25	36	2	1	2	1	0.61
Cormier, Lukas	Cha	44	6	30	36	0	0	1	1	0.82
Pépin, Marc-Antoine	Sha	60	6	30	36	0	0	2	0	0.60
Skubel, Brandon	Dru	50	17	18	35	1	0	3	2	0.70
Crossman, Ethan	Cha	58	13	22	35	3	0	5	1	0.60
Ansons, Raivis Kristians	BaC	60	13	22	35	0	0	3	0	0.58
Cormier, Xavier	Sha	60	12	23	35	1	0	0	2	0.58
Desnoyers, Elliot	Mon	61	11	24	35	5	2	1	0	0.57
Bouchard, Xavier	Cap	59	6	29	35	0	0	1	1	0.59
Kreutzer, Gregory	She	63	3	32	35	2	1	1	0	0.56
Roy, Nathaël	She	62	21	13	34	1	0	4	2	0.55
Bykov, Maxim	BLB	63	20	14	34	1	0	3	3	0.54
Giguère, Charles-Antoine	BaC	54	18	16	34	3	0	2	0	0.63
Demchenko, Valentin	BaC	57	16	18	34	1	1	6	1	0.60
Jones, Zack	Hal	63	15	19	34	2	0	3	0	0.54
Coxhead, Andrew	Rim	51	12	22	34	0	0	3	0	0.67
Roy, Pier-Olivier	Gat	48	11	23	34	0	0	1	0	0.71
Peeters, Senna	Hal	57	23	10	33	2	1	4	1	0.58
Ouellet, Nathan	Rim	64	16	17	33	2	0	3	3	0.52
Deakin-Poot, Nicholas	SNB	51	14	19	33	0	0	2	2	0.65
Charron, Édouard	Dru	59	14	19	33	6	0	3	1	0.56
MacKinnon, Evan	Gat	54	10	23	33	1	0	4	0	0.61
Noël, David	VdO	61	10	23	33	2	0	1	0	0.54
Kidney, Riley	Bat	59	5	28	33	1	0	2	0	0.56
DesRoches, Charlie	SNB	64	5	28	33	1	0	1	0	0.52
McCormick, Adam	Cap	50	3	30	33	0	0	1	0	0.66
Chisholm, Logan	Bat	64	14	18	32	1	0	1	1	0.50
Poulin, Anthony	Vic	61	13	19	32	1	0	2	1	0.52
Pelletier, Thomas	VdO	57	10	22	32	0	0	1	0	0.56
Aucoin, Yan	Bat	63	10	22	32	0	0	1	0	0.51
Aebischer, David	Gat	43	7	25	32	0	0	0	0	0.74
MacKinnon, Carson	Gat	39	6	26	32	0	0	1	1	0.82
Paré, Félix	Vic	62	15	16	31	3	0	2	0	0.50
Denis, Gabriel	Sha	62	14	17	31	1	1	2	0	0.50
Peresunko, Alexander	Vic	57	9	22	31	3	0	0	0	0.54
Joly, D'Artagnan	Hal	35	6	25	31	0	0	2	0	0.89
Lessard, Marshall	VdO	50	14	16	30	2	0	1	1	0.60
Létourneau, Julien	BaC	60	12	18	30	3	0	0	0	0.50
Tourigny, Miguël	BLB	61	11	19	30	4	1	1	1	0.49
Da Fonseca, Charlie	Dru	61	6	24	30	2	0	1	0	0.49
Laaouan, Noah	Cha	59	5	25	30	1	0	0	1	0.51
Massicotte, Zachary	Rim	64	4	26	30	0	0	1	1	0.47
Rumsey, Mark	Bat	55	12	17	29	2	0	3	1	0.53
Daoust, Philippe	Mon	58	7	22	29	3	0	1	2	0.50
Larochelle, Sean	Vic	63	6	23	29	1	0	0	1	0.46
Bernard, Xavier	She	62	5	24	29	0	0	2	1	0.47
Stairs, Dawson	SNB	63	17	11	28	2	0	2	1	0.44
Hoyt, Peyton	VdO	40	14	14	28	2	0	2	1	0.70
St-Laurent, Edouard	VdO	63	13	15	28	2	0	1	0	0.44
Sévigny, Vincent	Vic	59	10	18	28	1	0	1	3	0.47
Fortin, Xavier	BaC	66	10	18	28	1	0	4	0	0.42
Lapointe, Yann-Félix	BLB	60	7	21	28	1	0	1	1	0.47
Mirzabalaev, Alexander	VdO	62	7	21	28	0	0	0	1	0.45
Frenette, Conor	Vic	62	14	13	27	1	0	0	2	0.44
Caron, Thomas	Que	60	11	16	27	0	0	1	1	0.45
Huntley, Christian	Mon	61	7	20	27	1	0	1	0	0.44
Villeneuve, Gabriel	Chi	62	5	22	27	1	0	0	1	0.44
Martin, Jérémy	Sha	53	16	10	26	1	0	0	2	0.49
Nizhnikov, Kirill	Sha	33	12	14	26	2	0	3	1	0.79
Frattaroli, Brandon	BaC	55	12	14	26	1	0	1	2	0.47
Gould, Matt	SNB	60	9	17	26	1	0	0	2	0.43
Jobin, Gaetan	Cha	52	13	12	25	3	0	3	2	0.48
Nussbaumer, Valentin	Sha	31	7	18	25	0	0	1	1	0.81
Sergeev, Aleksei	Que	34	7	18	25	1	0	0	1	0.74
DeJong, Tristan	Mon	62	7	18	25	2	0	2	1	0.40
Bellamy, Jaxon	She	63	5	20	25	1	0	1	0	0.40
Gaucher, Nathan	Que	59	13	11	24	4	0	0	1	0.41
Rainville, Jérémy	Gat	61	11	13	24	1	0	0	2	0.39
Badalamenti, Ben	SNB	52	10	14	24	1	0	2	0	0.46
Kidney, Liam	Cap	63	9	15	24	1	0	0	1	0.38
Beauregard, Zachary	Cha	64	8	16	24	0	0	2	1	0.38
Régis, Samuel	Rou	47	6	18	24	0	0	0	2	0.51
Andersson, Axel	Mon	43	3	21	24	1	0	0	0	0.56
Havlena, Kyle	Cap	63	2	22	24	0	0	0	0	0.38
Nadeau, Olivier	Sha	58	15	8	23	2	0	4	0	0.40
Richardson, Blake	BLB	55	11	12	23	2	0	2	0	0.42
Ivan, Ivan	Cap	62	11	11	22	2	1	1	1	0.35
Mathieu, Olivier	VdO	59	10	12	22	0	0	0	1	0.37
Hudson, Jacob	Mon	63	8	14	22	0	0	1	1	0.35
Kyte, Patrick	Chi	46	7	15	22	1	0	1	1	0.48
Pellerin, Michaël	Chi	63	4	18	22	0	0	1	2	0.35
Roy, Zachary	BLB	50	14	7	21	1	0	2	2	0.42
Raska, Adam	Rim	35	13	8	21	2	0	3	1	0.60
Peyton, Liam	Cha	60	12	9	21	1	0	2	0	0.35
Pelletier, Tristan	Chi	58	11	10	21	2	0	2	1	0.36
Crevier, Louis	Chi	59	10	11	21	2	1	1	1	0.36
Drouin, Charles-Edouard	Rou	52	7	14	21	1	0	1	2	0.40
Lepage, Jordan	Sha	56	6	15	21	1	0	1	0	0.38
Desgroseilliers, Samuel	BLB	60	6	15	21	2	0	0	0	0.35
Arsenault, Alexis	Rou	47	5	16	21	0	0	0	0	0.45
Hegarty-Aubin, Émile	Gat	56	13	7	20	1	0	2	1	0.36
Holmes, Hunter	Que	38	9	11	20	1	0	2	1	0.53
Cummings, William	Sha	60	8	12	20	1	0	2	0	0.33
Flower, Walter	Rim	53	4	16	20	0	0	1	0	0.38
Clavelle, Brendon	Cha	54	2	18	20	0	0	2	0	0.37
Lapointe, Jérémy	Dru	60	12	7	19	1	0	2	1	0.32
Rouleau, William	Rou	32	10	9	19	3	0	3	0	0.59
Parent, Xavier	She	25	9	10	19	1	0	1	1	0.76
Hochegger, Fabian	Dru	56	8	11	19	0	0	1	1	0.34
Veillette, William	Sha	63	7	12	19	1	0	0	1	0.30
McIsaac, Jared	Mon	28	4	15	19	1	0	0	1	0.68
Barron, Justin	Hal	34	4	15	19	2	0	1	0	0.56
Edwards, Cole	Cha	55	13	5	18	2	0	1	2	0.33
Couture, Alexandre	BLB	44	10	8	18	3	0	1	0	0.41
Labbé, Alex	Rou	52	8	10	18	1	0	1	1	0.35
Coulombe, Olivier	Bat	58	8	10	18	1	0	2	0	0.31
Labrecque, Xavier	Chi	45	7	11	18	2	0	2	0	0.40
Johnston, Drew	Cha	50	7	11	18	2	0	0	0	0.36
Provost, William	VdO	51	6	12	18	2	0	1	0	0.35
Charlebois, Mathieu	Dru	59	6	12	18	0	0	2	0	0.31
Haché, Olivier-Luc	Rou	59	6	12	18	1	0	0	1	0.31
Biakabutuka, Jérémie	VdO	47	5	13	18	0	0	0	0	0.38
Lacombe, Thomas	BLB	54	5	13	18	0	0	1	1	0.33
Capannelli, Adam	Gat	33	4	14	18	0	0	0	0	0.55
Hogue, Alexandre	Gat	54	4	14	18	1	0	0	0	0.33
Lavoie, Nathan	BLB	63	3	15	18	1	0	0	0	0.29
Horvath, Jason	Hal	62	2	16	18	0	0	0	0	0.29
MacIsaac, Keenan	BaC	42	1	17	18	1	1	0	0	0.43
Montreuil, Gabriel	Que	53	13	4	17	1	0	2	1	0.32
Rochon, Antoine	BaC	52	7	10	17	1	0	1	0	0.33
Barinka, Marcel	Hal	57	7	10	17	1	0	1	0	0.30
Paré, Samy	Vic	51	6	11	17	1	0	3	0	0.33
Polcs, Rudolfs	VdO	59	6	11	17	1	0	0	0	0.29
