Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Krebs, Peyton	WPG	24	13	30	43	2	1	2	1	1.79
McCartney, Ben	BDN	24	13	24	37	4	0	1	2	1.54
Fonstad, Cole	EVT	23	16	18	34	3	2	2	3	1.48
Goncalves, Gage	EVT	23	12	22	34	2	0	2	2	1.48
Sourdif, Justin	VAN	22	11	23	34	1	0	1	4	1.55
McClennon, Connor	WPG	24	14	19	33	2	1	1	3	1.38
Neighbours, Jake	EDM	19	9	24	33	3	0	1	1	1.74
Nielsen, Tristen	VAN	22	15	17	32	2	0	2	2	1.45
Greig, Ridly	BDN	21	10	22	32	2	0	2	1	1.52
Crnkovic, Kyle	SAS	24	10	22	32	1	0	1	2	1.33
Pederson, Owen	WPG	24	13	18	31	2	1	2	1	1.29
Kemp, Brett	MH	23	12	19	31	1	1	4	2	1.35
Dureau, Jaydon	POR	24	10	21	31	0	0	1	1	1.29
Williams, Josh	EDM	22	17	13	30	3	1	2	3	1.36
Clayton, Cole	MH	23	9	21	30	2	0	1	1	1.30
Luypen, Jalen	EDM	23	16	13	29	3	0	1	2	1.26
Knak, Simon	POR	24	16	13	29	2	0	2	1	1.21
Pillar, Josh	KAM	22	11	18	29	3	0	2	0	1.32
Chyzowski, Ryan	MH	23	11	18	29	0	0	4	1	1.26
Bedard, Connor	REG	15	12	16	28	2	1	2	2	1.87
King, Ben	RD	21	12	16	28	0	0	2	1	1.33
Rybinski, Henrik	SEA	23	7	21	28	1	0	0	1	1.22
Wiesblatt, Ozzy	PA	23	7	21	28	2	1	3	1	1.22
Evans, Ryker	REG	24	3	25	28	0	0	0	0	1.17
McCallum, Lynden	BDN	22	21	6	27	3	0	3	3	1.23
Beckman, Adam	SPO	21	17	10	27	3	0	1	1	1.29
Jeri-Leon, Keltie	SEA	23	17	10	27	2	0	4	0	1.17
Jarvis, Seth	POR	24	15	12	27	2	0	3	4	1.13
Hall, Justin	LET	24	12	15	27	0	0	3	0	1.13
Ritchie, Nolan	BDN	24	10	17	27	3	1	2	1	1.13
Newkirk, Reece	POR	24	9	18	27	3	0	0	0	1.13
Souch, Carter	EDM	22	6	21	27	1	0	1	1	1.23
Schneider, Braden	BDN	22	5	22	27	2	2	0	0	1.23
Cotton, Alex	LET	24	7	19	26	1	1	1	0	1.08
Oliver, Kaid	EDM	23	11	14	25	2	0	3	1	1.09
Guenther, Dylan	EDM	12	12	12	24	2	0	3	3	2.00
Prokop, Josh	CGY	21	10	14	24	0	0	4	0	1.14
Zary, Connor	KAM	15	6	18	24	0	0	0	1	1.60
Denomie, Carson	REG	24	14	9	23	1	0	3	0	0.96
Bankier, Caedan	KAM	22	11	12	23	1	1	2	2	1.05
Robins, Tristen	SAS	16	10	13	23	2	1	1	0	1.44
Farren, Michael	SC	24	9	14	23	1	0	3	0	0.96
Geekie, Conor	WPG	24	9	14	23	1	1	3	1	0.96
Hopwo, Corson	MH	23	14	8	22	4	1	1	1	0.96
Smallwood, Jakin	WPG	24	13	9	22	4	1	2	1	0.92
Svejkovsky, Lukas	MH	20	12	10	22	2	0	0	2	1.10
Wouters, Chase	SAS	21	10	12	22	1	0	2	1	1.05
Zummack, Eli	SPO	21	9	13	22	2	1	1	0	1.05
Vitelli, Reece	PA	24	7	15	22	1	0	0	0	0.92
Ward, Mathew	SC	23	6	16	22	1	0	0	0	0.96
Robertson, Matthew	EDM	22	4	18	22	1	0	0	0	1.00
Tschigerl, Sean	CGY	21	13	8	21	1	0	6	0	1.00
Tracey, Brayden	VIC	22	9	12	21	1	1	4	0	0.95
Regnier, Ethan	EVT	23	9	12	21	2	0	3	0	0.91
Bains, Arshdeep	RD	23	8	13	21	1	1	1	0	0.91
Berezowski, Jackson	EVT	23	7	14	21	0	0	1	2	0.91
Cicek, Nick	POR	24	5	16	21	1	0	2	0	0.88
Dach, Colton	SAS	20	11	9	20	2	0	1	2	1.00
Alarie, Eric	MJ	19	10	10	20	0	0	2	1	1.05
Benson, Zachary	WPG	24	10	10	20	1	0	0	0	0.83
Chiasson, Jake	BDN	23	9	11	20	3	0	1	0	0.87
Barlage, Logan	LET	24	8	12	20	2	0	1	1	0.83
Mutala, Sasha	TC	19	6	14	20	1	0	2	0	1.05
Fizer, Tarun	VIC	20	6	14	20	0	0	0	0	1.00
Kambeitz, Dino	LET	21	6	14	20	2	0	0	1	0.95
Florchuk, Eric	VAN	22	4	16	20	1	0	1	0	0.91
Huo, Samuel	TC	18	9	10	19	2	2	1	1	1.06
Davidson, Jared	SEA	23	9	10	19	2	0	2	0	0.83
Dowhaniuk, Logan	EDM	23	5	14	19	0	0	0	1	0.83
Hunt, Daemon	MJ	23	8	10	18	1	1	0	0	0.78
Kannok Leipert, Alex	VAN	22	7	11	18	0	0	1	1	0.82
Yager, Brayden	MJ	24	7	11	18	0	0	1	0	0.75
Minten, Fraser	KAM	20	4	14	18	1	0	2	0	0.90
Nychuk, Chad	BDN	23	2	16	18	0	0	0	1	0.78
Mannek, Mason	POR	24	10	7	17	1	0	2	0	0.71
Nijhoff, Logan	REG	24	10	7	17	1	0	0	0	0.71
Kydd, Adam	CGY	21	9	8	17	2	1	2	0	0.81
Lisowsky, Brandon	SAS	24	8	9	17	2	0	0	1	0.71
Centazzo, Orrin	KAM	17	7	10	17	1	0	2	1	1.00
Bulych, Aiden	SC	23	6	11	17	0	0	0	3	0.74
Seeley, Ronan	EVT	23	5	12	17	1	0	0	1	0.74
Kindree, Liam	LET	21	4	13	17	0	0	0	0	0.81
Thacker, Alex	LET	23	3	14	17	1	0	0	0	0.74
Schmiemann, Quinn	KAM	22	2	15	17	0	0	0	0	0.77
Fairbrother, Gianni	EVT	23	1	16	17	0	0	0	0	0.74
Zloty, Benjamin	WPG	24	1	16	17	0	0	0	0	0.71
Seminoff, Matthew	KAM	22	11	5	16	2	0	1	1	0.73
Cutler, Brandon	VIC	22	9	7	16	0	0	3	0	0.73
Ostapchuk, Zack	VAN	22	7	9	16	3	0	5	0	0.73
Nagy, Cole	SC	23	7	9	16	1	0	0	1	0.70
Pearce, Eric	PA	24	7	9	16	1	0	0	4	0.67
Wong, Trevor	KEL	16	6	10	16	1	0	1	0	1.00
Popple, Tate	MJ	24	6	10	16	2	1	0	0	0.67
Rhinehart, Rhett	SAS	21	5	11	16	2	1	1	2	0.76
Latimer, Carson	EDM	22	5	11	16	1	0	2	2	0.73
Korczak, Ryder	MJ	17	3	13	16	0	0	1	1	0.94
Aquilon, Remy	PA	24	1	15	16	0	0	0	0	0.67
Nachbaur, Justin	PA	22	9	6	15	0	0	1	0	0.68
Wright, Jacob	EVT	23	9	6	15	3	0	4	1	0.65
Wheatcroft, Chase	LET	23	8	7	15	1	0	0	3	0.65
Smith, Zack	REG	20	7	8	15	0	0	0	0	0.75
Swetlikoff, Alex	KEL	15	6	9	15	0	0	2	0	1.00
Kope, David	KEL	16	6	9	15	1	0	2	0	0.94
Fiddler-Schultz, Riley	CGY	20	5	10	15	0	0	0	0	0.75
Williams, Owen	SC	24	5	10	15	0	0	1	0	0.63
Ladyman, Mike	WPG	20	3	12	15	1	0	1	0	0.75
Cap, Ethan	EDM	22	3	12	15	1	0	0	1	0.68
Danielson, Nate	BDN	24	3	12	15	0	0	1	0	0.63
McLeod, Wyatt	SAS	24	3	12	15	1	0	2	0	0.63
Boyko, Noah	LET	23	10	4	14	0	0	0	1	0.61
Liwiski, Mark	KEL	16	9	5	14	4	0	0	1	0.88
Levis, Connor	KAM	22	9	5	14	0	0	0	4	0.64
Herman, Evan	PA	20	8	6	14	2	0	2	0	0.70
Daley, Caiden	SAS	24	7	7	14	1	0	3	1	0.58
Stevenson, Blake	SAS	24	7	7	14	2	0	2	1	0.58
Stotts, Riley	CGY	21	6	8	14	1	0	0	1	0.67
Firkus, Jagger	MJ	23	6	8	14	0	0	1	0	0.61
Dubinsky, Cole	REG	21	5	9	14	0	0	2	0	0.67
Shtrom, Oren	MH	22	5	9	14	2	1	0	0	0.64
Stringer, Zack	LET	23	5	9	14	0	0	0	0	0.61
Campbell, Hunter	EVT	23	9	4	13	2	0	2	2	0.57
Armstrong, Craig	PG	21	7	6	13	1	0	1	1	0.62
Douglas, Chris	RD	23	7	6	13	1	0	0	0	0.57
Bouchard, Connor	TC	19	5	8	13	2	0	1	0	0.68
Baragano, Inaki	KAM	22	5	8	13	3	0	0	0	0.59
Van Impe, Eric	MH	22	4	9	13	1	0	1	0	0.59
Nash, Ty	LET	24	4	9	13	0	0	0	0	0.54
Zellweger, Olen	EVT	11	2	11	13	1	0	2	0	1.18
Ciona, Lucas	SEA	23	2	11	13	0	0	0	0	0.57
Ziemmer, Koehn	PG	22	9	3	12	2	0	3	1	0.55
McCarry, Nick	MH	20	7	5	12	1	0	2	1	0.60
Hall, Adam	VAN	22	7	5	12	1	0	0	0	0.55
Roulette, Conner	SEA	11	6	6	12	1	1	1	1	1.09
Milne, Mikey	WPG	14	6	6	12	2	0	0	1	0.86
Jacobson, Reed	SPO	21	5	7	12	0	0	1	1	0.57
Iorio, Vincent	BDN	22	5	7	12	0	0	1	0	0.55
Krane, Riley	MJ	24	5	7	12	0	0	0	0	0.50
Massier, Carter	REG	24	5	7	12	1	0	0	0	0.50
Chorney, Carter	REG	24	4	8	12	0	0	0	0	0.50
Keeler, Liam	EDM	19	3	9	12	0	0	1	0	0.63
Van De Leest, Jackson	CGY	21	3	9	12	1	0	0	0	0.57
De La Gorgendiere, Aidan	SAS	18	2	10	12	1	0	0	0	0.67
Onyebuchi, Montana	KAM	20	2	10	12	0	0	2	0	0.60
Russell, Bobby	SPO	21	2	10	12	0	0	0	0	0.57
Fromm-Delorme, Robbie	POR	24	2	10	12	0	0	1	0	0.50
Prosofsky, Karter	WPG	22	1	11	12	1	0	0	0	0.55
Samson, Ethan	PG	22	1	11	12	1	0	0	0	0.55
Klassen, Gabe	POR	19	8	3	11	3	0	0	1	0.58
Hooker, Jonny	PG	18	6	5	11	2	0	0	1	0.61
Zimmerman, Cael	CGY	19	6	5	11	2	1	0	0	0.58
Swetlikoff, Blake	SPO	21	6	5	11	1	0	0	0	0.52
Gronick, Kyren	PG	17	5	6	11	0	0	1	1	0.65
Upper, Tyson	PG	22	5	6	11	0	0	1	1	0.50
Wyrostok, Caleb	SC	22	5	6	11	1	0	0	0	0.50
Kuefler, Daylan	KAM	18	4	7	11	1	0	1	1	0.61
Gustafson, Jordan	SEA	23	4	7	11	2	0	1	0	0.48
Horon, Michael	PA	23	4	7	11	1	0	2	0	0.48
Larson, Cordel	SPO	17	3	8	11	0	0	0	1	0.65
Kozak, Tyson	POR	18	3	8	11	0	0	0	0	0.61
Bruce, Skyler	WPG	24	3	8	11	0	0	1	0	0.46
McCutcheon, Logan	LET	23	1	10	11	0	0	0	0	0.48
Walker, Kyle	REG	24	1	10	11	0	0	0	1	0.46
Krebs, Dru	MH	23	0	11	11	0	0	0	0	0.48
Bowie, Connor	PG	22	8	2	10	1	0	1	1	0.45
Stankoven, Logan	KAM	6	7	3	10	3	1	1	0	1.67
Bader, Bryce	VAN	22	5	5	10	1	0	0	0	0.45
Browne, Ethan	PG	17	4	6	10	2	0	0	0	0.59
Hyland, Brett	BDN	23	4	6	10	0	0	1	0	0.43
Lee, Jake	KEL	16	3	7	10	1	0	0	0	0.63
Anderson, Calder	MJ	21	3	7	10	0	0	0	0	0.48
Jordan, Cole	MJ	23	3	7	10	1	0	2	0	0.43
Salame, Neithan	BDN	23	3	7	10	0	0	0	0	0.43
Feist, Tyson	KEL	14	2	8	10	1	0	0	0	0.71
Brown, Tanner	VAN	22	2	8	10	0	0	1	0	0.45
Leppard, Jackson	WPG	24	2	8	10	0	0	0	0	0.42
Wiles, Raegan	SPO	21	1	9	10	0	0	0	0	0.48
Lindgren, Mats	KAM	22	1	9	10	0	0	1	0	0.45
Masters, Kyle	RD	20	0	10	10	0	0	0	0	0.50
Korchinski, Kevin	SEA	23	0	10	10	0	0	0	0	0.43
Tarzwell, Josh	RD	16	7	2	9	2	1	1	0	0.56
Atkinson, Scott	EDM	13	6	3	9	2	0	2	1	0.69
Davies, Josh	SC	20	6	3	9	0	0	0	0	0.45
Hofer, Ryan	EVT	22	6	3	9	1	0	0	2	0.41
Rowland, Ethan	RD	23	6	3	9	0	0	0	1	0.39
Jones, Jett	LET	24	6	3	9	1	0	0	0	0.38
Feist, Layton	REG	21	5	4	9	2	1	0	1	0.43
Muir, Cole	WPG	24	5	4	9	2	0	1	2	0.38
Pelletier, Raphael	SC	15	4	5	9	0	0	4	0	0.60
Stebbings, Carter	SC	15	4	5	9	0	0	0	1	0.60
Galloway, Tyson	CGY	17	4	5	9	1	1	0	1	0.53
Hayes, Cade	MJ	18	4	5	9	0	0	0	0	0.50
Sloan, Jake	TC	18	4	5	9	0	0	0	0	0.50
Zazula, Luke	TC	18	4	5	9	1	1	1	0	0.50
Daniel, Booker	TC	19	4	5	9	0	0	0	2	0.47
Ginnell, Riley	BDN	24	4	5	9	1	0	1	0	0.38
Atchison, Erik	SPO	14	3	6	9	0	0	0	0	0.64
Danielson, Noah	MH	20	3	6	9	1	0	0	0	0.45
Poole, Jake	KEL	15	2	7	9	0	0	0	0	0.60
Mateychuk, Denton	MJ	16	2	7	9	0	0	0	1	0.56
Kaddoura, Majid	PG	22	2	7	9	0	0	0	0	0.41
Moe, Spencer	PA	22	2	7	9	1	0	0	0	0.41
Weir, Jace	RD	22	2	7	9	0	0	1	0	0.41
Pickering, Owen	SC	23	2	7	9	0	0	0	0	0.39
Calvert, Atley	MJ	24	2	7	9	0	0	0	0	0.38
Zandee, Tristan	CGY	21	1	8	9	0	0	1	0	0.43
Sander, Jack	PG	22	1	8	9	0	0	0	0	0.41
Comrie, Sean	KEL	16	0	9	9	0	0	0	0	0.56
Laventure, Tyson	PA	23	5	3	8	0	0	1	0	0.35
Patrician, Evan	SAS	21	4	4	8	1	0	1	1	0.38
Korczak, Kaedan	KEL	15	3	5	8	0	0	0	0	0.53
Lies, Justin	VAN	21	3	5	8	0	0	0	1	0.38
Dowhaniuk, Keaton	PG	22	3	5	8	0	0	0	1	0.36
Roest, Austin	EVT	23	3	5	8	0	0	0	0	0.35
Nolan, Kade	POR	24	3	5	8	0	0	1	1	0.33
McMillen, Turner	KEL	16	2	6	8	0	0	0	0	0.50
Bertholet, Chase	WPG	18	2	6	8	0	0	0	0	0.44
Heidt, Riley	PG	22	2	6	8	0	0	0	0	0.36
Hanzel, Jeremy	SEA	23	2	6	8	1	0	0	0	0.35
Hanus, Clay	POR	6	1	7	8	0	0	0	0	1.33
Leduc, Matt	SPO	21	1	7	8	0	0	0	1	0.38
Strange, Sean	KAM	22	0	8	8	0	0	0	0	0.36
Baker, Daniel	MH	23	0	8	8	0	0	0	0	0.35
Bowman, Nick	TC	19	5	2	7	0	0	2	0	0.37
Wightman, Dylan	KEL	16	4	3	7	1	0	0	2	0.44
Mount, Payton	SEA	14	3	4	7	0	0	1	0	0.50
Greenway, Tyson	TC	18	3	4	7	0	0	1	0	0.39
Hagan, Bode	SC	19	3	4	7	0	0	1	0	0.37
Hemmerling, Ben	EVT	22	3	4	7	1	0	1	1	0.32
Culling, Matthew	PA	24	3	4	7	0	0	0	0	0.29
Lambert, Edge	TC	18	2	5	7	0	0	1	0	0.39
McCleary, Ryan	POR	18	2	5	7	0	0	0	0	0.39
Ashton, Zach	EVT	19	2	5	7	1	0	0	0	0.37
Ginnell, Brad	MJ	19	2	5	7	0	0	1	0	0.37
Bauer, Tyrel	SEA	23	2	5	7	0	0	0	0	0.30
Flamand, Nolan	KEL	16	1	6	7	0	0	0	0	0.44
Thiessen, Rylan	BDN	17	1	6	7	0	0	0	0	0.41
Laroque, Gannon	VIC	21	1	6	7	0	0	0	0	0.33
Arntsen, Joe	LET	23	1	6	7	0	0	0	0	0.30
Gottfried, Ryan	SEA	23	1	6	7	0	0	1	0	0.30
Wright, Charlie	SAS	24	1	6	7	0	0	1	0	0.29
Toth, Evan	CGY	21	0	7	7	0	0	0	0	0.33
Chyzowski, Kyle	POR	20	5	1	6	0	0	0	1	0.30
Lind, Kalan	RD	15	4	2	6	0	0	0	0	0.40
Peekeekoot, Dallyn	PA	15	4	2	6	0	0	2	0	0.40
Thorpe, Ty	BDN	21	3	3	6	0	0	1	0	0.29
Ludwig, Gabe	SEA	23	3	3	6	0	0	0	0	0.26
Wiesblatt, Orca	CGY	13	2	4	6	0	0	0	0	0.46
Carmichael, Elias	KEL	14	2	4	6	0	0	1	1	0.43
Prokop, Luke	CGY	15	2	4	6	0	0	0	0	0.40
Lee, Brendan	EVT	17	2	4	6	0	0	1	0	0.35
Doust, Logan	MJ	19	2	4	6	1	0	0	0	0.32
Lewis, Braeden	SC	19	2	4	6	0	0	0	0	0.32
Allan, Blake	CGY	21	2	4	6	0	0	0	0	0.29
Gabruch, Connor	CGY	21	2	4	6	1	0	0	0	0.29
Belton, Reese	KAM	22	2	4	6	1	0	0	1	0.27
Ward, Mason	RD	22	2	4	6	0	0	1	0	0.27
Isley, Jace	RD	23	2	4	6	0	0	0	0	0.26
Melin, Dallon	RD	23	2	4	6	0	0	1	0	0.26
Smith, Zak	RD	23	2	4	6	0	0	0	0	0.26
Englot, Drew	REG	24	2	4	6	1	0	0	1	0.25
Morozoff, Alex	SAS	24	2	4	6	0	0	0	1	0.25
Sydor, Dylan	KAM	15	1	5	6	1	0	0	0	0.40
Bateman, Luke	SEA	22	1	5	6	0	0	0	0	0.27
Horning, Connor	VAN	22	1	5	6	0	0	0	0	0.27
McGinley, Sam	SC	22	1	5	6	0	0	0	0	0.27
Stacha, Marko	VAN	22	1	5	6	1	0	0	0	0.27
Anderson, Dylan	EVT	23	1	5	6	0	0	1	0	0.26
Stanick, Sloan	REG	24	1	5	6	0	0	0	0	0.25
Brøndberg, Jonas	POR	20	0	6	6	0	0	0	0	0.30
Sutter, Aidan	EVT	21	0	6	6	0	0	0	0	0.29
Leslie, Mazden	VAN	17	5	0	5	0	0	1	0	0.29
Funk, Zac	CGY	21	4	1	5	0	0	0	1	0.24
Perepeluk, Reid	BDN	21	4	1	5	0	0	0	3	0.24
Reimer, Caleb	EDM	19	3	2	5	0	0	0	0	0.26
Cristall, Andrew	KEL	14	2	3	5	0	0	0	0	0.36
Oremba, Sam	SEA	15	2	3	5	0	0	0	0	0.33
Borysiuk, Jordan	SC	19	2	3	5	0	0	0	0	0.26
Fricker, Copeland	SPO	20	2	3	5	0	0	0	0	0.25
McNelly, Cade	SEA	20	2	3	5	0	0	0	0	0.25
Whynott, Brandon	CGY	20	2	3	5	0	0	0	1	0.25
Wiesblatt, Oasiz	MH	22	2	3	5	0	0	0	1	0.23
Rempe, Matthew	SEA	8	1	4	5	0	0	0	0	0.63
Andresen, Reid	MH	11	1	4	5	0	0	0	0	0.45
Lajoie, Marc	TC	19	1	4	5	0	0	1	0	0.26
Linklater, Logan	PA	22	1	4	5	0	0	0	1	0.23
O'Brien, Fischer	PG	22	1	4	5	0	0	0	0	0.23
Peters, Ethan	EDM	23	1	4	5	0	0	0	0	0.22
Bulych, Kaleb	SC	24	1	4	5	0	0	0	0	0.21
Smythe, Kurtis	POR	24	1	4	5	0	0	0	0	0.21
Leslie, Chase	RD	10	0	5	5	0	0	0	0	0.50
MacNeil, Owen	SPO	21	0	5	5	0	0	0	0	0.24
Prowse, Mitch	LET	22	0	5	5	0	0	0	0	0.23
Kosior, Landon	PA	21	4	0	4	0	0	0	0	0.19
Thurston, Trevor	LET	12	3	1	4	0	0	1	1	0.33
Zimmer, Tyson	BDN	16	3	1	4	0	0	0	1	0.25
Bolshakov, Alex	VIC	21	3	1	4	0	0	0	0	0.19
Houk, Eric	SC	23	3	1	4	0	0	0	0	0.17
Hanas, Cross	POR	6	2	2	4	1	0	0	0	0.67
King, Cory	MJ	16	2	2	4	0	0	0	1	0.25
Hoekstra, Josh	MJ	17	2	2	4	1	0	0	0	0.24
