Player,NHL_PTS_GP,CHL,Team,GP,G,A,PTS,GWG,OTG,First,Insurance,PTS_GP,OHL,QMJHL,WHL
Jason Robertson,0.85,OHL,KGN,68.0,42.0,39.0,81.0,11.0,1.0,7.0,5.0,1.19,1,0,0
Nick Suzuki,0.58,OHL,OS,65.0,45.0,51.0,96.0,6.0,2.0,8.0,5.0,1.48,1,0,0
Gabriel Vilardi,0.47,OHL,WSR,49.0,29.0,32.0,61.0,4.0,2.0,5.0,2.0,1.24,1,0,0
Janne Kuokkanen,0.49,OHL,LDN,60.0,26.0,36.0,62.0,5.0,0.0,5.0,4.0,1.03,1,0,0
Brandon Hagel,0.45,WHL,RD,65.0,31.0,40.0,71.0,8.0,2.0,5.0,1.0,1.09,0,0,1
Sam Steel,0.34,WHL,REG,66.0,50.0,81.0,131.0,6.0,1.0,8.0,5.0,1.98,0,0,1
Tanner Jeannot,0.45,WHL,MJ,71.0,19.0,33.0,52.0,5.0,2.0,1.0,5.0,0.73,0,0,1
Owen Tippett,0.4,OHL,MISS,60.0,44.0,31.0,75.0,8.0,1.0,6.0,3.0,1.25,1,0,0
Yakov Trenin,0.26,QMJHL,Gat,54.0,30.0,37.0,67.0,6.0,0.0,6.0,1.0,1.24,0,1,0
Dillon Dube,0.36,WHL,KEL,40.0,20.0,35.0,55.0,3.0,1.0,0.0,3.0,1.38,0,0,1
Philipp Kurashev,0.3,QMJHL,Que,65.0,21.0,33.0,54.0,4.0,2.0,4.0,1.0,0.83,0,1,0
Keegan Kolesar,0.29,WHL,SEA,54.0,26.0,34.0,60.0,6.0,2.0,4.0,2.0,1.11,0,0,1
Morgan Geekie,0.34,WHL,TC,72.0,35.0,55.0,90.0,5.0,1.0,8.0,2.0,1.25,0,0,1
Nick Merkley,0.39,WHL,KEL,63.0,23.0,40.0,63.0,4.0,0.0,5.0,3.0,1.0,0,0,1
Cody Glass,0.31,WHL,POR,69.0,32.0,62.0,94.0,5.0,0.0,6.0,2.0,1.36,0,0,1
Julien Gauthier,0.23,QMJHL,SNB,43.0,17.0,34.0,51.0,2.0,0.0,1.0,5.0,1.19,0,1,0
Logan Brown,0.39,OHL,WSR,35.0,14.0,26.0,40.0,3.0,0.0,2.0,4.0,1.14,1,0,0
Jaret Anderson-Dolan,0.29,WHL,SPO,72.0,39.0,37.0,76.0,6.0,0.0,8.0,0.0,1.06,0,0,1
Nicolas Roy,0.36,QMJHL,She,60.0,6.0,9.0,15.0,0.0,0.0,1.0,3.0,0.25,0,1,0
Nathan Bastian,0.24,OHL,MISS,58.0,16.0,29.0,45.0,1.0,1.0,3.0,2.0,0.78,1,0,0
Morgan Frost,0.34,OHL,SSM,67.0,20.0,42.0,62.0,3.0,0.0,1.0,2.0,0.93,1,0,0
Drake Batherson,0.43,QMJHL,Cap,61.0,22.0,36.0,58.0,1.0,0.0,5.0,0.0,0.95,0,1,0
Jordan Kyrou,0.32,OHL,SAR,66.0,30.0,64.0,94.0,4.0,0.0,4.0,4.0,1.42,1,0,0
Alex Barré-Boulet,0.29,QMJHL,BLB,65.0,29.0,52.0,81.0,6.0,1.0,6.0,3.0,1.25,0,1,0
Steven Lorentz,0.18,OHL,PBO,66.0,29.0,32.0,61.0,5.0,2.0,1.0,6.0,0.92,1,0,0
Adam Brooks,0.44,WHL,REG,66.0,43.0,87.0,130.0,9.0,1.0,6.0,4.0,1.97,0,0,1
Zack MacEwen,0.16,QMJHL,Gat,66.0,31.0,43.0,74.0,5.0,1.0,6.0,2.0,1.12,0,1,0
Jansen Harkins,0.24,WHL,PG,64.0,21.0,51.0,72.0,1.0,0.0,5.0,3.0,1.13,0,0,1
Givani Smith,0.19,OHL,GUE,64.0,26.0,18.0,44.0,3.0,0.0,4.0,1.0,0.69,1,0,0
Barrett Hayton,0.21,OHL,SSM,63.0,9.0,18.0,27.0,1.0,0.0,2.0,1.0,0.43,1,0,0
Matthew Highmore,0.17,QMJHL,SNB,64.0,34.0,55.0,89.0,5.0,0.0,6.0,4.0,1.39,0,1,0
Mitchell Stephens,0.16,OHL,LDN,51.0,22.0,31.0,53.0,2.0,0.0,6.0,4.0,1.04,1,0,0
Filip Chlapik,0.19,QMJHL,Cha,57.0,34.0,57.0,91.0,3.0,0.0,3.0,1.0,1.6,0,1,0
Mathieu Olivier,0.16,QMJHL,Sha,58.0,9.0,15.0,24.0,1.0,0.0,0.0,2.0,0.41,0,1,0
Alex Formenton,0.3,OHL,LDN,65.0,16.0,18.0,34.0,1.0,0.0,4.0,2.0,0.52,1,0,0
Taylor Raddysh,0.21,OHL,ER,58.0,42.0,67.0,109.0,5.0,0.0,5.0,6.0,1.88,1,0,0
Noah Gregor,0.18,WHL,MJ,52.0,27.0,34.0,61.0,5.0,0.0,3.0,1.0,1.17,0,0,1
Jack Studnicka,0.19,OHL,OSH,64.0,18.0,34.0,52.0,1.0,0.0,5.0,3.0,0.81,1,0,0
MacKenzie Entwistle,0.29,OHL,HAM,54.0,12.0,13.0,25.0,0.0,0.0,1.0,2.0,0.46,1,0,0
Alexander True,0.26,WHL,SEA,66.0,25.0,15.0,40.0,3.0,0.0,3.0,5.0,0.61,0,0,1
Ty Dellandrea,0.19,OHL,FLNT,57.0,13.0,11.0,24.0,1.0,0.0,5.0,0.0,0.42,1,0,0
Liam Foudy,0.19,OHL,LDN,58.0,9.0,6.0,15.0,4.0,0.0,1.0,0.0,0.26,1,0,0
Boris Katchouk,0.24,OHL,SSM,66.0,35.0,29.0,64.0,6.0,3.0,6.0,3.0,0.97,1,0,0
Jake Leschyshyn,0.22,WHL,REG,47.0,17.0,23.0,40.0,0.0,0.0,4.0,2.0,0.85,0,0,1
Ryan McLeod,0.15,OHL,MISS,68.0,9.0,33.0,42.0,1.0,1.0,2.0,0.0,0.62,1,0,0
Brett Leason,0.22,WHL,TC,68.0,8.0,10.0,18.0,1.0,0.0,0.0,0.0,0.26,0,0,1
Lane Pederson,0.1,WHL,SC,62.0,25.0,40.0,65.0,1.0,0.0,5.0,1.0,1.05,0,0,1
Connor Bunnaman,0.08,OHL,KIT,64.0,37.0,15.0,52.0,3.0,0.0,5.0,4.0,0.81,1,0,0
Parker Kelly,0.25,WHL,PA,72.0,21.0,22.0,43.0,1.0,0.0,4.0,0.0,0.6,0,0,1
Benoit-Olivier Groulx,0.19,QMJHL,Hal,62.0,17.0,14.0,31.0,2.0,0.0,2.0,2.0,0.5,0,1,0
Michael McLeod,0.17,OHL,MISS,57.0,27.0,46.0,73.0,3.0,0.0,7.0,3.0,1.28,1,0,0
Michael Pezzetta,0.14,OHL,SBY,54.0,10.0,9.0,19.0,1.0,0.0,0.0,3.0,0.35,1,0,0
Marian Studenic,0.15,OHL,HAM,58.0,18.0,12.0,30.0,3.0,0.0,3.0,0.0,0.52,1,0,0
Tyler Benson,0.06,WHL,VAN,33.0,11.0,31.0,42.0,1.0,1.0,0.0,1.0,1.27,0,0,1
Carsen Twarynski,0.05,WHL,KEL,64.0,17.0,26.0,43.0,2.0,0.0,4.0,1.0,0.67,0,0,1
Beck Malenstyn,0.1,WHL,CGY,70.0,32.0,24.0,56.0,4.0,1.0,5.0,2.0,0.8,0,0,1
Jonah Gadjovich,0.07,OHL,OS,60.0,46.0,28.0,74.0,5.0,0.0,5.0,7.0,1.23,1,0,0
Kole Lind,0.1,WHL,KEL,70.0,30.0,57.0,87.0,6.0,2.0,2.0,5.0,1.24,0,0,1
